site,replicate,mean_arith_mm,sorting_arith_mm,skewness_arith_mm,kurtosis_arith_mm,mean_geom_mm,sorting_geom_mm,skewness_geom_mm,kurtosis_geom_mm,mean_log_phi,sorting_log_phi,skewness_log_phi,kurtosis_log_phi,mean_fw_phi,mean_fw_mm,sorting_fw_phi,skewness_fw_phi,kurtosis_fw_phi,fw_description
B,2,0.22924128045867176,0.2337356194016036,5.160338210547073,35.81771286546427,0.1821439341743016,0.618102228006001,0.585707617796157,5.197556056922878,2.456849144178719,0.891733019106677,-0.585707617796157,5.197556056922878,1.9842791970322817,0.2527391042366691,0.8683116120203995,0.05230204601911918,1.0465436804166859,Medium sand
B,3,0.27073218444340935,0.11326016274427762,2.044200786750932,10.717717378817303,0.25115488296013105,0.3880198436700113,-0.21275337986297616,5.0996840420943315,1.9933507706883522,0.5597943042292362,0.21275337986297718,5.099684042094333,1.4911111111111113,0.3557384665741289,0.5845005363503138,0.0037321883386011436,1.3999515432748377,Medium sand
C,1,0.28179582484725046,0.17734837924278485,5.564741792041956,48.5275326711609,0.25366334634304727,0.4269821605150232,0.5808610369549182,6.901409403212689,1.9790130258971899,0.6160050455230793,-0.580861036954919,6.901409403212694,1.494389901823282,0.3549309032775535,0.5990661961724623,-0.01076486604125999,1.4334093235187244,Medium sand
C,2,0.26999339622641505,0.12690181152257413,2.6305555619493863,14.022291272808861,0.24782324952666715,0.40720242642982685,0.03656043350279788,5.057542371748657,2.0126165546913053,0.5874689212482642,-0.03656043350279644,5.0575423717486565,1.5095081967213115,0.35123093036298936,0.5990161280924424,0.0016565588632673793,1.4114047824197464,Medium sand
C,3,0.19250758213984834,0.0935194508362747,1.0579914489702151,5.109434907915544,0.17030965298555895,0.5148969323547904,-0.46493865202374823,3.0982962193734034,2.553767887001129,0.7428392508771964,0.4649386520237474,3.0982962193734003,2.023581411485155,0.2459468680277942,0.778347271367027,0.17394250221464944,0.8814736424718359,Fine sand
A,1,0.22531841999193875,0.22864663816989564,5.606992618999195,41.33544039213389,0.1809205861593822,0.6028110266056217,0.6027456878674103,5.229468046319844,2.466571519651831,0.8696724786771155,-0.6027456878674123,5.229468046319844,1.9892148411756951,0.25187592881401233,0.8537549053483178,0.06474860214569422,1.0061891782688401,Medium sand
A,2,0.19249158878504669,0.07850909480203322,1.3991676741522665,13.868271494868985,0.17662276693712634,0.42882666445559864,-0.45217432505195293,2.81689901100775,2.5012567743796668,0.6186661022110478,0.4521743250519511,2.8168990110077483,1.9822810946588032,0.25308938510508705,0.6657470363951452,0.12666880642979444,0.7644131429105524,Medium sand
A,3,0.1923129062209842,0.09289508739147789,1.1937696829328435,5.359242934391218,0.17156214314424992,0.48778238280113817,-0.23402379350498692,2.8110503880270605,2.5431968516266856,0.7037212247002042,0.234023793504986,2.8110503880270583,2.0259344487182935,0.2455460553614275,0.7470872901428702,0.10723546865853995,0.850608923441946,Fine sand
B,1,1.0222100997506234,0.5280692790383472,0.5311090613634191,2.8547009555450207,0.8609357947260722,0.6502592248417705,-0.994852900798449,3.5040688284328327,0.21602244389027425,0.9381257589715237,0.9948529007984491,3.5040688284328327,-0.19523679899518723,1.1449120671005717,0.8843150397989119,0.5141171822324535,1.3588646330083995,Very coarse sand
B,2,0.30381532416502943,0.2992807640293954,4.021574740698826,21.46909634074592,0.23989284392827398,0.6273719351958769,0.5827339438334399,5.419401394651529,2.0595379726173078,0.9051063797000037,-0.5827339438334388,5.419401394651528,1.6648471389204083,0.31537776636019527,0.8313703083018442,0.03776879487298239,1.5915210089088325,Medium sand
